iter	Passed	Remaining
0	1	125
1	2	142
2	4	144
3	5	129
4	6	119
5	7	111
6	8	106
7	8	102
8	9	97
9	10	95
10	11	93
11	12	91
12	13	87
13	13	85
14	14	82
15	15	80
16	16	78
17	16	76
18	17	74
19	18	72
20	18	69
21	19	67
22	19	65
23	20	63
24	20	61
25	21	60
26	21	58
27	22	57
28	22	55
29	23	53
30	23	52
31	23	50
32	24	49
33	24	48
34	25	47
35	25	46
36	26	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	31
51	33	30
52	33	30
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	21
64	39	21
65	39	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	49	8
85	50	8
86	50	7
87	51	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
