iter	Passed	Remaining
0	138	138040
1	139	69528
2	140	46805
3	142	35440
4	144	28795
5	146	24281
6	147	20988
7	149	18578
8	150	16622
9	152	15068
10	153	13789
11	154	12691
12	155	11777
13	156	11020
14	157	10360
15	158	9749
16	159	9197
17	159	8720
18	160	8295
19	161	7904
20	161	7550
21	162	7228
22	163	6933
23	163	6661
24	164	6410
25	164	6177
26	165	5962
27	166	5762
28	166	5575
29	167	5400
30	167	5236
31	168	5082
32	168	4938
33	168	4800
34	169	4675
35	170	4556
36	170	4441
37	171	4332
38	171	4228
39	172	4130
40	172	4037
41	173	3946
42	173	3860
43	173	3778
44	174	3698
45	174	3623
46	175	3551
47	175	3480
48	175	3413
49	176	3350
50	176	3289
51	177	3230
52	177	3173
53	178	3118
54	178	3065
55	178	3014
56	179	2965
57	179	2918
58	180	2872
59	180	2827
60	180	2784
61	181	2742
62	181	2702
63	182	2663
64	182	2625
65	182	2588
66	183	2553
67	183	2520
68	184	2488
69	184	2457
70	185	2427
71	185	2397
72	186	2367
73	187	2342
74	187	2314
75	188	2286
76	188	2259
77	188	2232
78	189	2206
79	189	2181
80	190	2156
81	190	2132
82	190	2109
83	191	2086
84	191	2063
85	192	2041
86	192	2020
87	192	1999
88	193	1978
89	193	1958
90	194	1939
91	194	1920
92	194	1901
93	195	1883
94	195	1865
95	196	1847
96	196	1830
97	197	1813
98	197	1796
99	197	1780
100	198	1764
101	198	1750
102	199	1736
103	199	1721
104	200	1707
105	200	1692
106	201	1679
107	201	1668
108	202	1654
109	202	1641
110	203	1628
111	203	1614
112	204	1602
113	204	1589
114	204	1577
115	205	1564
116	205	1552
117	206	1540
118	206	1529
119	206	1517
120	207	1505
121	207	1494
122	207	1482
123	208	1472
124	208	1461
125	209	1451
126	209	1440
127	209	1430
128	210	1420
129	210	1410
130	211	1400
131	211	1391
132	212	1382
133	212	1372
134	212	1363
135	213	1356
136	214	1348
137	214	1340
138	215	1333
139	215	1325
140	216	1318
141	216	1310
142	217	1302
143	217	1294
144	218	1286
145	218	1278
146	219	1270
147	219	1263
148	219	1255
149	220	1246
150	220	1239
151	220	1232
152	221	1225
153	221	1218
154	222	1211
155	222	1204
156	223	1197
157	223	1190
158	223	1183
159	224	1177
160	224	1170
161	225	1164
162	225	1158
163	225	1151
164	226	1145
165	226	1139
166	227	1133
167	227	1127
168	228	1122
169	228	1117
170	229	1112
171	229	1107
172	230	1102
173	231	1097
174	231	1092
175	232	1086
176	232	1081
177	232	1075
178	233	1070
179	233	1064
180	234	1059
181	234	1054
182	235	1049
183	235	1044
184	235	1039
185	236	1034
186	236	1029
187	237	1024
188	237	1019
189	237	1014
190	238	1009
191	238	1004
192	239	1000
193	239	995
194	240	990
195	240	986
196	240	981
197	241	977
198	241	972
199	242	968
200	242	964
201	243	960
202	243	956
203	244	952
204	244	948
205	245	944
206	245	941
207	246	937
208	246	933
209	247	929
210	247	925
211	247	921
212	248	917
213	248	913
214	249	909
215	249	905
216	249	901
217	250	898
218	250	894
219	251	890
220	251	886
221	252	883
222	252	879
223	252	875
224	253	872
225	253	868
226	254	865
227	254	861
228	254	858
229	255	855
230	255	851
231	256	848
232	256	844
233	257	841
234	257	838
235	258	836
236	258	833
237	259	830
238	259	827
239	260	824
240	260	821
241	261	818
242	261	815
243	262	812
244	262	809
245	263	806
246	263	803
247	263	800
248	264	797
249	264	794
250	265	791
251	265	788
252	266	785
253	266	782
254	266	779
255	267	776
256	267	773
257	268	771
258	268	768
259	268	765
260	269	762
261	269	759
262	270	757
263	270	754
264	271	751
265	271	748
266	271	746
267	272	743
268	273	742
269	273	739
270	274	737
271	274	734
272	275	732
273	275	730
274	276	728
275	276	725
276	277	723
277	277	720
278	277	718
279	278	715
280	278	713
281	279	710
282	279	708
283	279	705
284	280	703
285	280	701
286	281	698
287	281	696
288	282	694
289	282	691
290	282	689
291	283	687
292	283	684
293	284	682
294	284	680
295	285	677
296	285	675
297	285	673
298	286	671
299	286	669
300	287	667
301	287	665
302	288	663
303	288	661
304	289	659
305	289	657
306	290	655
307	290	653
308	291	651
309	291	649
310	292	647
311	292	645
312	293	643
313	293	641
314	293	639
315	294	637
316	294	635
317	295	632
318	295	630
319	295	628
320	296	626
321	296	624
322	297	622
323	297	621
324	298	619
325	298	617
326	298	615
327	299	613
328	299	611
329	300	609
330	300	607
331	300	605
332	301	603
333	301	602
334	302	600
335	303	598
336	303	597
337	304	595
338	304	593
339	305	592
340	305	590
341	305	588
342	306	586
343	306	585
344	307	583
345	307	581
346	308	579
347	308	577
348	308	576
349	309	574
350	309	572
351	310	570
352	310	569
353	310	567
354	311	565
355	311	564
356	312	562
357	312	560
358	313	559
359	313	557
360	313	555
361	314	553
362	314	552
363	315	550
364	315	548
365	315	547
366	316	545
367	316	544
368	317	542
369	317	541
370	318	539
371	318	538
372	319	536
373	319	535
374	320	533
375	320	532
376	321	530
377	321	529
378	322	527
379	322	526
380	322	524
381	323	523
382	323	521
383	324	520
384	324	518
385	324	516
386	325	515
387	325	513
388	326	512
389	326	510
390	327	509
391	327	507
392	327	506
393	328	504
394	328	503
395	329	501
396	329	500
397	329	499
398	330	497
399	330	496
400	331	494
401	331	493
402	332	492
403	332	491
404	333	489
405	333	488
406	334	487
407	334	485
408	335	484
409	335	483
410	336	481
411	336	480
412	337	479
413	337	477
414	337	476
415	338	474
416	338	473
417	339	472
418	339	470
419	339	469
420	340	468
421	340	466
422	341	465
423	341	464
424	342	462
425	342	461
426	342	460
427	343	458
428	343	457
429	344	456
430	344	454
431	345	453
432	345	452
433	345	451
434	346	449
435	346	448
436	347	447
437	347	446
438	348	445
439	348	444
440	349	442
441	349	441
442	350	440
443	350	439
444	351	438
445	351	436
446	352	435
447	352	434
448	352	433
449	353	431
450	353	430
451	354	429
452	354	428
453	355	427
454	355	426
455	356	424
456	356	423
457	357	422
458	357	421
459	357	420
460	358	418
461	358	417
462	359	416
463	359	415
464	360	414
465	360	413
466	360	411
467	361	410
468	361	409
469	362	408
470	362	407
471	363	406
472	363	405
473	364	404
474	364	403
475	365	402
476	365	401
477	366	399
478	366	398
479	367	397
480	367	396
481	367	395
482	368	394
483	368	393
484	369	392
485	369	391
486	370	389
487	370	388
488	370	387
489	371	386
490	371	385
491	372	384
492	372	383
493	373	382
494	373	381
495	373	379
496	374	378
497	374	377
498	375	376
499	375	375
500	376	374
501	377	374
502	378	373
503	378	372
504	379	371
505	380	371
506	381	370
507	381	369
508	382	368
509	382	367
510	383	366
511	383	365
512	384	364
513	385	364
514	385	363
515	386	362
516	387	361
517	387	360
518	388	359
519	388	358
520	389	357
521	389	357
522	390	356
523	392	356
524	393	356
525	394	355
526	395	354
527	396	354
528	396	353
529	397	352
530	398	351
531	398	350
532	399	350
533	400	349
534	400	348
535	401	347
536	401	346
537	402	345
538	402	344
539	403	343
540	403	342
541	404	341
542	404	340
543	404	339
544	405	338
545	406	337
546	406	336
547	407	335
548	407	335
549	408	334
550	408	333
551	409	332
552	409	331
553	410	330
554	410	329
555	411	328
556	411	327
557	411	326
558	412	325
559	412	324
560	413	323
561	413	322
562	414	321
563	414	320
564	415	319
565	415	318
566	415	317
567	416	316
568	416	315
569	417	314
570	417	313
571	418	312
572	418	312
573	419	311
574	419	310
575	419	309
576	420	308
577	421	307
578	421	306
579	422	305
580	422	304
581	423	303
582	423	303
583	424	302
584	424	301
585	425	300
586	425	299
587	426	298
588	426	297
589	426	296
590	427	295
591	427	294
592	428	293
593	428	292
594	429	292
595	429	291
596	429	290
597	430	289
598	430	288
599	431	287
600	431	286
601	431	285
602	432	284
603	432	283
604	433	282
605	433	281
606	434	281
607	434	280
608	434	279
609	435	278
610	435	277
611	436	276
612	436	275
613	437	274
614	437	274
615	438	273
616	438	272
617	439	271
618	439	270
619	439	269
620	440	268
621	440	267
622	441	267
623	441	266
624	442	265
625	442	264
626	442	263
627	443	262
628	443	261
629	444	260
630	444	260
631	445	259
632	445	258
633	445	257
634	446	256
635	446	255
636	447	254
637	447	253
638	448	253
639	448	252
640	448	251
641	449	250
642	449	249
643	450	248
644	450	248
645	451	247
646	451	246
647	452	245
648	452	244
649	453	244
650	453	243
651	454	242
652	454	241
653	455	240
654	455	239
655	455	239
656	456	238
657	456	237
658	457	236
659	457	235
660	458	234
661	458	234
662	458	233
663	459	232
664	459	231
665	460	230
666	460	229
667	461	229
668	461	228
669	461	227
670	462	226
671	462	225
672	463	225
673	463	224
674	463	223
675	464	222
676	464	221
677	465	221
678	466	220
679	466	219
680	467	218
681	467	217
682	468	217
683	468	216
684	468	215
685	469	214
686	469	214
687	470	213
688	470	212
689	471	211
690	471	210
691	471	210
692	472	209
693	472	208
694	473	207
695	473	206
696	473	206
697	474	205
698	474	204
699	475	203
700	475	202
701	475	202
702	476	201
703	476	200
704	477	199
705	477	198
706	478	198
707	478	197
708	478	196
709	479	195
710	479	195
711	480	194
712	480	193
713	481	192
714	481	192
715	482	191
716	482	190
717	483	189
718	483	189
719	484	188
